AE_text,true_LLT_term,pred_LLT_term,true_PT_term,pred_PT_term,LLT_correct,PT_correct,exact_LLT_match,LLT_fuzzy_score,LLT_fuzzy_match,exact_PT_match,PT_fuzzy_score,PT_fuzzy_match,true_LLT_Code,true_PT_Code,pred_LLT_Code,pred_PT_Code
abdominal pain,Abdominal pain,Abdominal pain,Abdominalschmerz,Abdominalschmerz,True,True,True,100.0,True,True,100.0,True,10000081,10000081,10000081,10000081
Abscess scrotum,Scrotal abscess,Scrotal abscess,Skrotalabszess,Skrotalabszess,True,True,True,100.0,True,True,100.0,True,10049571,10049571,10049571,10049571
absence of appetite,Appetite absent,Appetite absent,Appetit vermindert,Appetit vermindert,True,True,True,100.0,True,True,100.0,True,10003017,10061428,10003017,10061428
Abszess ischiorectal,Ischiorectal abscess,Ischiorectal abscess,,,True,True,True,100.0,True,False,0.0,False,10023046,10048947,10023046,10048947
acut respiratory distress syndrom due to pneumonia,Pneumonia,Respiratory distress syndrome,Pneumonie,Akutes Atemnotsyndrom,False,False,False,15.789473684210531,False,False,26.66666666666667,False,10035664,10035664,10038689,10001052
acute Cholezystitis,Cholecystitis acute,Cholecystitis acute,Akute Cholezystitis,Akute Cholezystitis,True,True,True,100.0,True,True,100.0,True,10008614,10008614,10008614,10008614
acute coronary syndrom,Acute coronary syndrome,Acute coronary syndrome,Akutes Koronarsyndrom,Akutes Koronarsyndrom,True,True,True,100.0,True,True,100.0,True,10051592,10051592,10051592,10051592
Acute coronary syndrom with cardiac troponin t increased,Acute coronary syndrome,Acute coronary syndrome,Akutes Koronarsyndrom,Akutes Koronarsyndrom,True,True,True,100.0,True,True,100.0,True,10051592,10051592,10051592,10051592
acute kidney failure,Acute kidney failure,Acute kidney failure,Akute Nierenschaedigung,Akute Nierenschaedigung,True,True,True,100.0,True,True,100.0,True,10000821,10069339,10000821,10069339
acute kidney failure AKIN I,Acute renal insufficiency,Acute kidney failure,Akute Nierenschaedigung,Akute Nierenschaedigung,False,True,False,48.88888888888889,False,True,100.0,True,10050440,10069339,10000821,10069339
acute kidney injury,Acute kidney injury,Acute kidney injury,Akute Nierenschaedigung,Akute Nierenschaedigung,True,True,True,100.0,True,True,100.0,True,10069339,10069339,10069339,10069339
Acute kidney injury,Acute kidney injury,Acute kidney injury,Akute Nierenschaedigung,Akute Nierenschaedigung,True,True,True,100.0,True,True,100.0,True,10069339,10069339,10069339,10069339
acute renal failure,Acute renal failure,Acute renal failure,Akute Nierenschaedigung,Akute Nierenschaedigung,True,True,True,100.0,True,True,100.0,True,10001041,10069339,10001041,10069339
acute renal failure (AKIN II),Renal failure,Acute renal failure,Nierenversagen,Akute Nierenschaedigung,False,False,False,81.25,False,False,54.054054054054056,False,10038435,10038435,10001041,10069339
alanine aminotransferase increased,Alanine aminotransferase increased,Alanine aminotransferase increased,Alaninaminotransferase erhoeht,Alaninaminotransferase erhoeht,True,True,True,100.0,True,True,100.0,True,10001551,10001551,10001551,10001551
ALAT increased,Alanine aminotransferase increased,Alanine aminotransferase increased,Alaninaminotransferase erhoeht,Alaninaminotransferase erhoeht,True,True,True,100.0,True,True,100.0,True,10001551,10001551,10001551,10001551
Alkaline phoshatase increased,Alkaline phosphatase NOS increased,Alkaline phosphatase increased,Alkalische Phosphatase im Blut erhoeht,Alkalische Phosphatase im Blut erhoeht,False,True,False,93.75,True,True,100.0,True,10001677,10059570,10001675,10059570
allegic reaction platelet transfusion,Allergic transfusion reaction,Allergic transfusion reaction,Allergische Transfusionsreaktion,Allergische Transfusionsreaktion,True,True,True,100.0,True,True,100.0,True,10066173,10066173,10066173,10066173
allergic reaction,Allergic reaction,Allergic reaction NOS,Ueberempfindlichkeit,Ueberempfindlichkeit,False,True,False,89.47368421052632,False,True,100.0,True,10001718,10020751,10001719,10020751
Allergic reaction cytarabin and daunorubicin,Allergic reaction to chemotherapy,Allergic reaction to chemotherapy,,,True,True,True,100.0,True,False,0.0,False,10085395,10013700,10085395,10013700
Allergic reaction of Ambisome,Allergic reaction to drug,Allergic reaction to drug,,,True,True,True,100.0,True,False,0.0,False,10082135,10013700,10082135,10013700
Allergic reaction paltelet transfusion,Allergic transfusion reaction,Allergic transfusion reaction,Allergische Transfusionsreaktion,Allergische Transfusionsreaktion,True,True,True,100.0,True,True,100.0,True,10066173,10066173,10066173,10066173
allergic reaction platelet concentrate,Allergic transfusion reaction,Allergic transfusion reaction,Allergische Transfusionsreaktion,Allergische Transfusionsreaktion,True,True,True,100.0,True,True,100.0,True,10066173,10066173,10066173,10066173
allergic reaction platelet transfusion,Allergic transfusion reaction,Allergic transfusion reaction,Allergische Transfusionsreaktion,Allergische Transfusionsreaktion,True,True,True,100.0,True,True,100.0,True,10066173,10066173,10066173,10066173
allergic reaction platelets transfusion,Allergic transfusion reaction,Allergic transfusion reaction,Allergische Transfusionsreaktion,Allergische Transfusionsreaktion,True,True,True,100.0,True,True,100.0,True,10066173,10066173,10066173,10066173
allergic reaction red blood cell transfusion,Allergic transfusion reaction,Allergic transfusion reaction,Allergische Transfusionsreaktion,Allergische Transfusionsreaktion,True,True,True,100.0,True,True,100.0,True,10066173,10066173,10066173,10066173
allergic reaction to daunorubicine,Allergic reaction to chemotherapy,Allergic reaction to drug,,,False,True,False,75.86206896551724,False,False,0.0,False,10085395,10013700,10082135,10013700
Alopecia,Alopecia,Alopecia,Alopezie,Alopezie,True,True,True,100.0,True,True,100.0,True,10001760,10001760,10001760,10001760
Alopezie,Alopecia,Alopecia,Alopezie,Alopezie,True,True,True,100.0,True,True,100.0,True,10001760,10001760,10001760,10001760
ALT increased,ALT increased,ALT increased,Alaninaminotransferase erhoeht,Alaninaminotransferase erhoeht,True,True,True,100.0,True,True,100.0,True,10001845,10001551,10001845,10001551
Anaemia,Anaemia,Anaemia NOS,Anaemie,Anaemie,False,True,False,77.77777777777779,False,True,100.0,True,10002034,10002034,10002071,10002034
Anaemie,Anaemia,Anaemia,Anaemie,Anaemie,True,True,True,100.0,True,True,100.0,True,10002034,10002034,10002034,10002034
Anal fissur,Anal fissure,Anal fissure,Analfissur,Analfissur,True,True,True,100.0,True,True,100.0,True,10002153,10002153,10002153,10002153
Anal ulcer,Anal ulcer,Anal ulcer,Analulkus,Analulkus,True,True,True,100.0,True,True,100.0,True,10002180,10002180,10002180,10002180
Anemia,Anemia,Anemia,Anaemie,Anaemie,True,True,True,100.0,True,True,100.0,True,10002272,10002034,10002272,10002034
anorexia (parenteral nutrition was necessary,Anorexia,Anorexia,Appetit vermindert,Appetit vermindert,True,True,True,100.0,True,True,100.0,True,10002646,10061428,10002646,10061428
anorexia (parenterale nutrition was nessessary),Inappetence,Anorexia,Appetit vermindert,Appetit vermindert,False,True,False,31.57894736842105,False,True,100.0,True,10054792,10061428,10002646,10061428
Anurie,Anuria,Anuria,Anurie,Anurie,True,True,True,100.0,True,True,100.0,True,10002847,10002847,10002847,10002847
ARDS by neutropenic sepsis and acute renal failure,Neutropenic sepsis,Acute renal failure,Neutropenische Sepsis,Akute Nierenschaedigung,False,False,False,37.83783783783784,False,False,45.45454545454546,False,10049151,10049151,10001041,10069339
arterial embolism / stenosis arteria fibular right,Arterial embolism limb,Embolism arterial (limb),Periphere Embolie,Periphere Embolie,False,True,False,56.52173913043479,False,True,100.0,True,10003159,10061340,10014514,10061340
arterial hypertension,Arterial hypertension,Arterial hypertension,Hypertonie,Hypertonie,True,True,True,100.0,True,True,100.0,True,10081425,10020772,10081425,10020772
aspergillosis,Aspergillosis,Aspergillosis,Aspergillusinfektion,Aspergillusinfektion,True,True,True,100.0,True,True,100.0,True,10003488,10074171,10003488,10074171
Aspirationpneumonia past BMP,Aspiration pneumonia,Aspiration pneumonia,Aspirationspneumonie,Aspirationspneumonie,True,True,True,100.0,True,True,100.0,True,10003525,10035669,10003525,10035669
atypical infiltrates lung,Atypical pneumonia,Atypical pneumonia,Atypische Pneumonie,Atypische Pneumonie,True,True,True,100.0,True,True,100.0,True,10003757,10003757,10003757,10003757
back pain,Back pain,Back pain,Rueckenschmerzen,Rueckenschmerzen,True,True,True,100.0,True,True,100.0,True,10003988,10003988,10003988,10003988
Bacteriemia staphylococcus epidermidis,Staphylococcal bacteremia,Staphylococcal bacteraemia,Staphylokokken-Bakteriaemie,Staphylokokken-Bakteriaemie,False,True,False,98.0392156862745,True,True,100.0,True,10054637,10051017,10051017,10051017
bakteraemia,Bacteremia,Bacteremia,,,True,True,True,100.0,True,False,0.0,False,10003999,10003997,10003999,10003997
Bakteriaemie,Bacteraemia,Bacteraemia,,,True,True,True,100.0,True,False,0.0,False,10003997,10003997,10003997,10003997
beginning sepsis of unknown origin,Sepsis,Sepsis NOS,,,False,True,False,75.0,False,False,0.0,False,10040047,10040047,10040050,10040047
bilirubin increase,Bilirubin value increased,Bilirubin increased,Bilirubin im Blut erhoeht,Bilirubin im Blut erhoeht,False,True,False,86.36363636363636,False,True,100.0,True,10004701,10005364,10004690,10005364
bilirubin increased,Bilirubin increased,Bilirubin increased,Bilirubin im Blut erhoeht,Bilirubin im Blut erhoeht,True,True,True,100.0,True,True,100.0,True,10004690,10005364,10004690,10005364
bipulmonal atypical pneumonia,Atypical pneumonia,Atypical pneumonia,Atypische Pneumonie,Atypische Pneumonie,True,True,True,100.0,True,True,100.0,True,10003757,10003757,10003757,10003757
bipulomale Pneumonia,Bilateral pneumonia,Bilateral pneumonia,Pneumonie,Pneumonie,True,True,True,100.0,True,True,100.0,True,10058686,10035664,10058686,10035664
Bleeding intracerebral,Hemorrhage intracerebral,Intracerebral hemorrhage,Hirnblutung,Hirnblutung,False,True,False,54.16666666666667,False,True,100.0,True,10019551,10008111,10022754,10008111
bleending,Hemorrhage,Hemorrhage,Blutung,Blutung,True,True,True,100.0,True,True,100.0,True,10019524,10055798,10019524,10055798
Blood Bilirubin increased,Blood bilirubin increased,Blood bilirubin increased,Bilirubin im Blut erhoeht,Bilirubin im Blut erhoeht,True,True,True,100.0,True,True,100.0,True,10005364,10005364,10005364,10005364
blood stream infection,Infection NOS,Bacteria blood identified,Infektion,Test auf Bakterien positiv,False,False,False,31.57894736842105,False,False,28.57142857142857,False,10021842,10021789,10061667,10059421
Candidiasis,Candidiasis,Candidiasis,Candida-Infektion,Candida-Infektion,True,True,True,100.0,True,True,100.0,True,10007152,10074170,10007152,10074170
cannula infection,Catheter site infection,Catheter site infection,Infektion an der Katheterstelle,Infektion an der Katheterstelle,True,True,True,100.0,True,True,100.0,True,10056520,10056520,10056520,10056520
Capillary Leak,Capillary leak syndrome,Capillary leak syndrome,Kapillarlecksyndrom,Kapillarlecksyndrom,True,True,True,100.0,True,True,100.0,True,10007196,10007196,10007196,10007196
catheterinfection (E coli and Staph. epidermis),Catheter infection,Catheter infection,Infektion im Zusammenhang mit einem Medizinprodukt,Infektion im Zusammenhang mit einem Medizinprodukt,True,True,True,100.0,True,True,100.0,True,10051387,10064687,10051387,10064687
Cholestasis,Cholestasis,Cholestasis,Cholestase,Cholestase,True,True,True,100.0,True,True,100.0,True,10008635,10008635,10008635,10008635
coagulopathy,Coagulopathy,Coagulopathy,Koagulopathie,Koagulopathie,True,True,True,100.0,True,True,100.0,True,10009802,10009802,10009802,10009802
