AE_text,true_LLT_term,pred_LLT_term,true_PT_term,pred_PT_term,LLT_correct,PT_correct,exact_LLT_match,LLT_fuzzy_score,LLT_fuzzy_match,exact_PT_match,PT_fuzzy_score,PT_fuzzy_match,true_LLT_Code,true_PT_Code,pred_LLT_Code,pred_PT_Code
Acidosis metabolic,Acidosis metabolic,Metabolic acidosis NOS,Metabolische Azidose,Metabolische Azidose,False,True,False,50.0,False,True,100.0,True,10000492,10027417,10027419,10027417
Acute adhesion ileus,Ileus adhesive,Ileus adhesive,Mechanischer Ileus,Mechanischer Ileus,True,True,True,100.0,True,True,100.0,True,10056322,10051399,10056322,10051399
acute kidney injury,Acute kidney injury,Acute kidney injury,Akute Nierenschaedigung,Akute Nierenschaedigung,True,True,True,100.0,True,True,100.0,True,10069339,10069339,10069339,10069339
acute renal insufficiency,Acute renal insufficiency,Acute renal insufficiency,Akute Nierenschaedigung,Akute Nierenschaedigung,True,True,True,100.0,True,True,100.0,True,10050440,10069339,10050440,10069339
aktue Cholezystitis,Acute cholecystitis,Acute cholecystitis,Akute Cholezystitis,Akute Cholezystitis,True,True,True,100.0,True,True,100.0,True,10000691,10008614,10000691,10008614
AML Pregression,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AML Progress,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AML Progression AML,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AML Progression AML Progression,AML progression,Acute myeloid leukemia progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,False,True,False,61.224489795918366,False,True,100.0,True,10066572,10000880,10066638,10000880
AML Progression AML Progression im peripheren Blut,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AMl progression and pneumonie,AML progression,Pneumonitis,Akute myeloische Leukaemie,Pneumonitis,False,False,False,30.76923076923077,False,False,27.027027027027028,False,10066572,10000880,10035742,10035742
AML Progression BSC,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AML Progression death by progredient AML,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AML Progression Leukozytose,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AML Progression Panzytopenia,AML progression,Pancytopenia,Akute myeloische Leukaemie,Panzytopenie,False,False,False,29.629629629629626,False,False,31.57894736842105,False,10066572,10000880,10033661,10033661
AML Progression Patient deceased,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AML Progression Patient dies at home due to AML progression,AML progression,Acute myeloid leukemia progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,False,True,False,61.224489795918366,False,True,100.0,True,10066572,10000880,10066638,10000880
AML Progression Progress of AML,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
AML Progression Progression,AML progression,Acute myeloid leukemia progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,False,True,False,61.224489795918366,False,True,100.0,True,10066572,10000880,10066638,10000880
AML Progression progressive AML,AML progression,AML progression,Akute myeloische Leukaemie,Akute myeloische Leukaemie,True,True,True,100.0,True,True,100.0,True,10066572,10000880,10066572,10000880
