AE_text,true_LLT_term,pred_LLT_term,true_PT_term,pred_PT_term,LLT_correct,PT_correct,exact_LLT_match,LLT_fuzzy_score,LLT_fuzzy_match,exact_PT_match,PT_fuzzy_score,PT_fuzzy_match,true_LLT_Code,true_PT_Code,pred_LLT_Code,pred_PT_Code
abdominal pain,Abdominal pain,Abdominal pain,Abdominalschmerz,Abdominalschmerz,True,True,True,100.0,True,True,100.0,True,10000081,10000081,10000081,10000081
Abdominal pain,Abdominal pain,Abdominal pain,Abdominalschmerz,Abdominalschmerz,True,True,True,100.0,True,True,100.0,True,10000081,10000081,10000081,10000081
Acute cerebral hemorrhage,Cerebral hemorrhage,Cerebral hemorrhage,Hirnblutung,Hirnblutung,True,True,True,100.0,True,True,100.0,True,10008114,10008111,10008114,10008111
acute renal failure low eGFR,Acute kidney failure,Acute renal failure,Akute Nierenschaedigung,Akute Nierenschaedigung,False,True,False,76.92307692307692,False,True,100.0,True,10000821,10069339,10001041,10069339
acute urinary stasis left kidney Grad II acute renal failure; creatinin increase; fever; pain,Acute kidney failure,Acute renal failure,Akute Nierenschaedigung,Akute Nierenschaedigung,False,True,False,76.92307692307692,False,True,100.0,True,10000821,10069339,10001041,10069339
Akutes Nierenversagen AKI 2 Â°,Acute kidney failure,Acute kidney failure,Akute Nierenschaedigung,Akute Nierenschaedigung,True,True,True,100.0,True,True,100.0,True,10000821,10069339,10000821,10069339
Alanine Aminotransferase increased,Alanine aminotransferase increased,Alanine aminotransferase increased,Alaninaminotransferase erhoeht,Alaninaminotransferase erhoeht,True,True,True,100.0,True,True,100.0,True,10001551,10001551,10001551,10001551
ALAT increased,Alanine aminotransferase increased,Alanine aminotransferase increased,Alaninaminotransferase erhoeht,Alaninaminotransferase erhoeht,True,True,True,100.0,True,True,100.0,True,10001551,10001551,10001551,10001551
Alkaline phoshatase increased,Alkaline phosphatase increased,Alkaline phosphatase increased,Alkalische Phosphatase im Blut erhoeht,Alkalische Phosphatase im Blut erhoeht,True,True,True,100.0,True,True,100.0,True,10001675,10059570,10001675,10059570
alkaline phosphatase increased,Alkaline phosphatase increased,Alkaline phosphatase increased,Alkalische Phosphatase im Blut erhoeht,Alkalische Phosphatase im Blut erhoeht,True,True,True,100.0,True,True,100.0,True,10001675,10059570,10001675,10059570
allergic reaction,Allergic reaction,Allergic reaction NOS,Ueberempfindlichkeit,Ueberempfindlichkeit,False,True,False,89.47368421052632,False,True,100.0,True,10001718,10020751,10001719,10020751
allergic reaction to transfusion of platelet concentrate,Allergic transfusion reaction,Allergic transfusion reaction,Allergische Transfusionsreaktion,Allergische Transfusionsreaktion,True,True,True,100.0,True,True,100.0,True,10066173,10066173,10066173,10066173
Allergic reaction transfusion of platelets Treatment: tavegil i.v.,Allergic transfusion reaction,Allergic transfusion reaction,Allergische Transfusionsreaktion,Allergische Transfusionsreaktion,True,True,True,100.0,True,True,100.0,True,10066173,10066173,10066173,10066173
allergic transfusion reaction rash after blood transfusion,Allergic transfusion reaction,"The AE ""allergic transfusion reaction rash after blood transfusion"" suggests a reaction that occurred as a result of a blood transfusion, which is an allergic response. The key elements here are ""allergic"", ""transfusion"", and ""reaction"". While terms like ""Allergic skin reaction"", ""Immune-mediated rash"", and ""Allergic rash"" capture the allergic and skin aspects, they do not specifically mention the context of a transfusion. Terms like ""Systemic allergic reaction"" and ""Anaphylactic transfusion reaction"" could be relevant, but ""Systemic allergic reaction"" is broader and does not specify the transfusion context, and ""Anaphylactic transfusion reaction"" implies a severity (anaphylaxis) that is not explicitly mentioned in the AE. ""Transfusion reaction"" is relevant but does not capture the allergic aspect. ""Transfusion-related immunomodulation reaction"" is not directly relevant as it implies a modulation of the immune system which is not the focus of the described AE. ""Rash at site of injection"" and ""Infusion site rash"" are not the best matches because the reaction is described as occurring after a blood transfusion, not necessarily at the site of the transfusion.",Allergische Transfusionsreaktion,,False,False,False,4.821280133000827,False,False,0.0,False,10066173,10066173,,
alopecia,Alopecia,Alopecia,Alopezie,Alopezie,True,True,True,100.0,True,True,100.0,True,10001760,10001760,10001760,10001760
Anemia,Anemia,Anemia,Anaemie,Anaemie,True,True,True,100.0,True,True,100.0,True,10002272,10002034,10002272,10002034
anemia,Anemia,Anemia,Anaemie,Anaemie,True,True,True,100.0,True,True,100.0,True,10002272,10002034,10002272,10002034
anemia anemia,Anemia,Anemia,Anaemie,Anaemie,True,True,True,100.0,True,True,100.0,True,10002272,10002034,10002272,10002034
Bilirubin Erhoehung,Blood bilirubin increased,Blood bilirubin increased,Bilirubin im Blut erhoeht,Bilirubin im Blut erhoeht,True,True,True,100.0,True,True,100.0,True,10005364,10005364,10005364,10005364
