dataset,variant,seeds,n_runs,sum_n_samples,LLT_code_acc__mean,LLT_code_acc__std,LLT_code_acc__n,LLT_f1_macro__mean,LLT_f1_macro__std,LLT_f1_macro__n,LLT_precision_macro__mean,LLT_precision_macro__std,LLT_precision_macro__n,LLT_recall_macro__mean,LLT_recall_macro__std,LLT_recall_macro__n,LLT_term_acc_exact__mean,LLT_term_acc_exact__std,LLT_term_acc_exact__n,LLT_term_acc_fuzzy__mean,LLT_term_acc_fuzzy__std,LLT_term_acc_fuzzy__n,PT_code_acc__mean,PT_code_acc__std,PT_code_acc__n,PT_f1_macro__mean,PT_f1_macro__std,PT_f1_macro__n,PT_precision_macro__mean,PT_precision_macro__std,PT_precision_macro__n,PT_recall_macro__mean,PT_recall_macro__std,PT_recall_macro__n,PT_term_acc_exact__mean,PT_term_acc_exact__std,PT_term_acc_exact__n,PT_term_acc_fuzzy__mean,PT_term_acc_fuzzy__std,PT_term_acc_fuzzy__n,SOC_acc_any_of_vs_AE__mean,SOC_acc_any_of_vs_AE__std,SOC_acc_any_of_vs_AE__n,SOC_acc_option_a__mean,SOC_acc_option_a__std,SOC_acc_option_a__n,SOC_acc_option_b__mean,SOC_acc_option_b__std,SOC_acc_option_b__n,Valid_MedDRA_LLT_rate__mean,Valid_MedDRA_LLT_rate__std,Valid_MedDRA_LLT_rate__n
Dauno,newfuzz,"42,43,44",3,1329,,,0,0.117062,0.003566,3,0.124254,0.004617,3,0.118802,0.002048,3,0.242287,0.002607,3,0.267118,0.008546,3,0.410219,0.002649,3,,,0,,,0,,,0,,,0,,,0,0.775533,0.013646,3,0.702459,0.014082,3,0.768183,0.017309,3,,,0
Dauno,newrag,"42,43,44",3,1329,0.554225,0.008411,3,0.352076,0.007927,3,0.361668,0.007484,3,0.360058,0.007017,3,0.550038,0.006896,3,0.600451,0.0,3,0.780911,0.006047,3,0.654825,0.00696,3,0.665236,0.008859,3,0.662396,0.005716,3,0.778029,0.004699,3,0.711061,0.004515,3,0.911517,0.005008,3,0.867903,0.001023,3,0.926811,0.001211,3,,,0
Dauno,newrapidfuzz,"42,43,44",3,1329,,,0,0.290684,0.006657,3,0.29933,0.007562,3,0.3051,0.007428,3,0.460497,0.012568,3,0.512415,0.009029,3,0.696363,0.010651,3,,,0,,,0,,,0,,,0,,,0,0.91422,0.010241,3,0.851505,0.01139,3,0.921667,0.014638,3,,,0
Dauno,zeroshot,"42,43,44",3,1329,,,0,0.205609,0.001723,3,0.205095,0.001721,3,0.220416,0.001754,3,0.370956,0.001303,3,0.445448,0.001303,3,0.843624,0.001388,3,,,0,,,0,,,0,,,0,,,0,0.939393,0.000204,3,0.878471,0.000422,3,0.971831,9.9e-05,3,0.731377,0.002257,3
Delta,newfuzz,"42,43,44",3,678,,,0,0.099582,0.012169,3,0.10877,0.013838,3,0.101345,0.01272,3,0.20354,0.022124,3,0.231563,0.020437,3,0.392212,0.027632,3,,,0,,,0,,,0,,,0,,,0,0.743576,0.034667,3,0.62488,0.029908,3,0.741888,0.023207,3,,,0
Delta,newrag,"42,43,44",3,678,0.508221,0.00685,3,0.292525,0.013106,3,0.300751,0.016784,3,0.303694,0.012193,3,0.501475,0.006759,3,0.542773,0.009211,3,0.781297,0.006912,3,0.569456,0.016911,3,0.584704,0.018462,3,0.578381,0.016241,3,0.768437,0.006759,3,0.728614,0.006759,3,0.899982,0.010007,3,0.847125,0.005142,3,0.902397,0.002918,3,,,0
Delta,newrapidfuzz,"42,43,44",3,678,,,0,0.313804,0.020325,3,0.323279,0.024676,3,0.330506,0.015137,3,0.49705,0.016752,3,0.522124,0.011707,3,0.729302,0.01416,3,,,0,,,0,,,0,,,0,,,0,0.869159,0.004673,3,0.77488,0.003746,3,0.891235,0.012503,3,,,0
Delta,zeroshot,"42,43,44",3,678,,,0,0.164859,0.000739,3,0.17133,0.000412,3,0.17514,0.001021,3,0.275811,0.002555,3,0.320059,0.002555,3,0.836819,0.00059,3,,,0,,,0,,,0,,,0,,,0,0.896327,0.000387,3,0.778361,0.00101,3,0.950953,0.000231,3,0.70944,0.002555,3
Mosaic,newfuzz,"42,43,44",3,537,,,0,0.178033,0.01323,3,0.196437,0.014252,3,0.171409,0.012895,3,0.368715,0.024351,3,0.422719,0.025191,3,0.564424,0.041359,3,,,0,,,0,,,0,,,0,,,0,0.767733,0.040046,3,0.720211,0.061691,3,0.791524,0.042163,3,,,0
Mosaic,newrag,"42,43,44",3,537,0.586937,0.013058,3,0.381041,0.016002,3,0.412503,0.010662,3,0.37306,0.017674,3,0.58473,0.011629,3,0.646182,0.006451,3,0.853382,0.00567,3,0.713323,0.021161,3,0.731726,0.021404,3,0.717924,0.022129,3,0.845438,0.006451,3,0.800745,0.006451,3,0.891728,0.003611,3,0.854322,0.003899,3,0.918803,0.007009,3,,,0
Mosaic,newrapidfuzz,"42,43,44",3,537,,,0,0.400294,0.043921,3,0.423531,0.049987,3,0.403862,0.040739,3,0.605214,0.027558,3,0.674115,0.02115,3,0.824834,0.011861,3,,,0,,,0,,,0,,,0,,,0,0.865863,0.009352,3,0.815194,0.006208,3,0.909654,0.003976,3,,,0
Mosaic,zeroshot,"42,43,44",3,537,,,0,0.219405,0.000122,3,0.227732,0.001488,3,0.221612,0.001003,3,0.39851,0.006451,3,0.513966,0.009676,3,0.867117,0.007802,3,,,0,,,0,,,0,,,0,,,0,0.890476,0.004124,3,0.840796,0.004309,3,0.922886,0.004309,3,0.832402,0.0,3
