de;en
Allgemeine Erkrankungen und Beschwerden am Verabreichungsort;General disorders and administration site conditions
Augenerkrankungen;Eye disorders
Chirurgische und medizinische Eingriffe;Surgical and medical procedures
Endokrine Erkrankungen;Endocrine disorders
Erkrankungen der Atemwege;Respiratory, thoracic and mediastinal disorders
Erkrankungen der Geschlechtsorgane und der Brustdruese;Reproductive system and breast disorders
Erkrankungen der Haut und des Unterhautgewebes;Skin and subcutaneous tissue disorders
Erkrankungen der Nieren und Harnwege;Renal and urinary disorders
Erkrankungen des Blutes und des Lymphsystems;Blood and lymphatic system disorders
Erkrankungen des Gastrointestinaltrakts;Gastrointestinal disorders
Erkrankungen des Immunsystems;Immune system disorders
Erkrankungen des Nervensystems;Nervous system disorders
Erkrankungen des Ohrs und des Labyrinths;Ear and labyrinth disorders
Gefaesserkrankungen;Vascular disorders
Gutartige;Benign
Herzerkrankungen;Cardiac disorders
Infektionen und parasitaere Erkrankungen;Infections and infestations
Kongenitale;Congenital
Leber- und Gallenerkrankungen;Hepatobiliary disorders
Produktprobleme;Product issues
Psychiatrische Erkrankungen;Psychiatric disorders
Schwangerschaft;Pregnancy
Skelettmuskulatur-;Skeletal muscle
Soziale Umstaende;Social circumstances
Stoffwechsel- und Ernaehrungsstoerungen;Metabolism and nutrition disorders
Untersuchungen;Investigations
Verletzung;Injury
